Insert_times,Search_times,num_insertCollisions,num_searchCollisions
3.667e-08,1.006e-08,122,8
3.494e-08,1.345e-08,86,21
3.362e-08,1.115e-08,92,12
3.607e-08,1.527e-08,107,35
4.232e-08,1.432e-08,145,24
3.477e-08,1.366e-08,85,29
3.868e-08,1.858e-08,123,42
3.912e-08,1.274e-08,122,18
3.596e-08,2.406e-08,122,87
3.622e-08,1.148e-08,111,9
3.549e-08,1.481e-08,96,22
3.411e-08,1.507e-08,111,27
3.999e-08,1.305e-08,152,18
3.425e-08,1.329e-08,93,19
3.698e-08,1.283e-08,131,20
3.648e-08,1.359e-08,115,25
4.124e-08,1.39e-08,123,24
4.254e-08,1.276e-08,130,17
3.931e-08,1.371e-08,126,22
4.031e-08,1.793e-08,137,40
4.189e-08,1.153e-08,156,12
4.427e-08,1.256e-08,186,17
4.299e-08,1.822e-08,153,48
3.912e-08,1.406e-08,134,24
3.99e-08,1.088e-08,130,12
3.855e-08,1.248e-08,153,18
3.897e-08,1.334e-08,145,28
4.508e-08,1.628e-08,187,36
4.003e-08,1.545e-08,130,30
4.006e-08,1.101e-08,139,13
4.093e-08,1.188e-08,200,15
3.985e-08,1.156e-08,183,12
4.144e-08,1.766e-08,210,37
4.406e-08,1.242e-08,226,16
3.924e-08,1.222e-08,130,14
4.189e-08,1.306e-08,154,17
4.23e-08,1.132e-08,156,19
4.202e-08,1.468e-08,181,29
4.192e-08,1.965e-08,193,46
3.919e-08,1.341e-08,152,20
4.638e-08,1.77e-08,249,48
4.197e-08,1.684e-08,220,36
4.224e-08,1.959e-08,209,60
4.501e-08,1.362e-08,221,23
4.25e-08,1.912e-08,183,56
4.272e-08,1.733e-08,183,40
4.172e-08,1.279e-08,204,27
4.088e-08,1.425e-08,175,21
4.357e-08,1.058e-08,204,8
4.13e-08,1.319e-08,174,16
4.268e-08,1.485e-08,178,29
4.436e-08,1.822e-08,236,43
4.549e-08,1.611e-08,233,30
4.429e-08,1.98e-08,277,51
4.575e-08,2.2e-08,250,57
4.411e-08,1.354e-08,271,19
4.549e-08,1.344e-08,323,21
4.539e-08,1.661e-08,299,34
4.375e-08,1.901e-08,224,61
4.287e-08,1.53e-08,191,29
4.427e-08,2.279e-08,236,65
4.404e-08,1.844e-08,257,47
4.474e-08,2.108e-08,251,81
4.619e-08,1.609e-08,288,38
4.418e-08,2.525e-08,269,95
4.295e-08,1.532e-08,238,27
5.029e-08,1.534e-08,399,29
4.632e-08,2.342e-08,302,65
4.523e-08,1.728e-08,264,39
4.215e-08,1.679e-08,246,32
4.64e-08,1.784e-08,307,60
4.479e-08,1.602e-08,271,37
4.775e-08,1.776e-08,353,51
4.898e-08,1.658e-08,307,45
4.562e-08,1.987e-08,304,79
4.543e-08,1.595e-08,289,36
5.075e-08,1.896e-08,398,57
4.416e-08,2.295e-08,256,104
4.831e-08,1.786e-08,271,59
4.797e-08,1.356e-08,319,22
4.339e-08,1.755e-08,272,42
4.78e-08,2.102e-08,340,69
5.213e-08,1.894e-08,454,42
4.225e-08,1.69e-08,202,38
4.787e-08,1.355e-08,349,23
4.789e-08,1.544e-08,364,28
4.53e-08,1.487e-08,250,31
4.661e-08,1.48e-08,332,28
4.807e-08,1.52e-08,369,32
4.681e-08,1.722e-08,316,43
4.445e-08,2.282e-08,292,70
4.812e-08,1.321e-08,380,19
4.799e-08,2.188e-08,374,86
4.989e-08,1.963e-08,393,71
5.322e-08,2.323e-08,491,81
5.378e-08,1.596e-08,498,28
5.484e-08,2.373e-08,535,85
4.895e-08,1.68e-08,399,53
5.005e-08,1.756e-08,425,38
4.916e-08,1.574e-08,413,25
5.158e-08,2.411e-08,451,86
5.007e-08,1.783e-08,417,48
5.312e-08,1.957e-08,506,71
5.257e-08,1.972e-08,477,50
5.18e-08,2.085e-08,477,83
5.251e-08,1.846e-08,502,40
5.077e-08,2.986e-08,447,192
4.965e-08,2.193e-08,425,102
5.618e-08,1.457e-08,550,35
5.566e-08,2.022e-08,576,56
5.431e-08,2.187e-08,516,89
5.47e-08,1.816e-08,543,50
5.565e-08,2.062e-08,587,58
5.541e-08,1.871e-08,589,42
5.665e-08,1.583e-08,555,27
5.662e-08,2.162e-08,593,65
5.329e-08,1.954e-08,530,42
5.303e-08,2.823e-08,492,138
5.983e-08,1.78e-08,663,45
6.384e-08,3.042e-08,778,199
6.492e-08,3.355e-08,811,219
6.673e-08,2.26e-08,845,69
5.967e-08,2.984e-08,662,171
6.069e-08,2.503e-08,706,119
6.359e-08,2.596e-08,759,122
6.033e-08,2.138e-08,688,84
6.415e-08,2.189e-08,784,55
7.094e-08,3.451e-08,918,178
6.468e-08,1.898e-08,805,64
7.709e-08,1.994e-08,1091,70
6.423e-08,2.395e-08,797,65
6.525e-08,2.109e-08,799,72
6.271e-08,1.586e-08,744,40
6.197e-08,1.853e-08,737,55
6.691e-08,1.922e-08,844,62
7.135e-08,2.169e-08,950,114
6.645e-08,2.185e-08,852,92
6.594e-08,2.187e-08,817,68
6.334e-08,2.389e-08,778,123
8.288e-08,2.015e-08,1270,68
6.947e-08,2.994e-08,915,119
7.05e-08,2.554e-08,927,121
7.841e-08,2.484e-08,1131,70
6.823e-08,1.832e-08,903,71
8.455e-08,2.927e-08,1268,224
7.259e-08,1.496e-08,1009,27
8.206e-08,2.638e-08,1256,145
7.425e-08,1.976e-08,1034,74
8.784e-08,2.043e-08,1404,117
8.529e-08,2.781e-08,1308,215
7.956e-08,2.632e-08,1190,170
8.603e-08,2.063e-08,1333,67
7.849e-08,2.803e-08,1146,127
8.06e-08,2.092e-08,1204,109
1.05e-07,2.779e-08,1788,203
9.658e-08,3.037e-08,1586,159
1.1571e-07,3.126e-08,2045,221
1.1326e-07,2.114e-08,2019,86
1.0257e-07,2.728e-08,1750,112
1.0913e-07,2.651e-08,1901,188
1.1563e-07,3.067e-08,2087,156
1.153e-07,2.408e-08,2041,100
1.2901e-07,2.867e-08,2408,139
1.1818e-07,2.121e-08,2128,41
1.2559e-07,2.49e-08,2282,130
1.2414e-07,3.002e-08,2286,166
1.149e-07,2.95e-08,1999,141
1.0857e-07,3.827e-08,1914,269
1.6331e-07,3.641e-08,3250,251
1.3453e-07,2.771e-08,2513,148
1.7435e-07,2.629e-08,3525,132
1.4178e-07,2.956e-08,2717,146
1.2252e-07,2.75e-08,2221,68
1.5545e-07,3.033e-08,3063,142
1.3825e-07,2.688e-08,2567,146
1.7173e-07,3.59e-08,3452,465
1.8394e-07,2.447e-08,3761,120
1.8688e-07,2.224e-08,3811,44
2.6045e-07,2.399e-08,5646,106
2.0235e-07,4.06e-08,4249,289
2.1914e-07,2.799e-08,4613,126
2.0104e-07,3.114e-08,4122,199
