Insert , Search
3.12918e-06 , 3.9814e-07
3.07833e-06 , 3.8214e-07
3.06367e-06 , 3.0016e-07
2.40164e-06 , 2.8671e-07
2.40016e-06 , 2.7735e-07
2.64756e-06 , 3.5239e-07
2.95248e-06 , 2.8834e-07
2.47504e-06 , 3.0012e-07
3.14733e-06 , 3.175e-07
2.61164e-06 , 3.1843e-07
3.09086e-06 , 3.60948e-05
3.71592e-06 , 4.6898e-07
3.77106e-06 , 4.2259e-07
2.9578e-06 , 4.6872e-07
3.36974e-06 , 4.5009e-07
3.36056e-06 , 4.3928e-07
2.80485e-06 , 3.2472e-07
4.26253e-06 , 3.7166e-07
5.19051e-06 , 3.6576e-07
2.75984e-06 , 3.1604e-07
4.24554e-06 , 3.7824e-07
3.46746e-06 , 1.18705e-06
3.00389e-06 , 3.4743e-07
2.98912e-06 , 4.3506e-07
3.57395e-06 , 3.3523e-07
2.89465e-06 , 3.3946e-07
2.82536e-06 , 2.9704e-07
3.47332e-06 , 4.0446e-07
3.68451e-06 , 4.5837e-07
4.58907e-06 , 4.8925e-07
3.87852e-06 , 5.7281e-07
3.75728e-06 , 4.7932e-07
3.77012e-06 , 4.4829e-07
3.73073e-06 , 4.9856e-07
3.99561e-06 , 4.5445e-07
3.89375e-06 , 5.2479e-07
4.40217e-06 , 5.0619e-07
3.88067e-06 , 5.0322e-07
4.54926e-06 , 7.1233e-07
4.65273e-06 , 3.195e-07
3.06435e-06 , 2.8974e-07
3.85941e-06 , 3.4937e-07
3.04661e-06 , 3.2856e-07
2.91308e-06 , 3.2547e-07
2.95163e-06 , 3.3019e-07
2.83542e-06 , 3.1112e-07
2.83447e-06 , 3.2098e-07
2.86642e-06 , 2.8833e-07
3.36889e-06 , 5.2588e-07
3.09319e-06 , 3.0882e-07
2.91421e-06 , 3.2174e-07
2.94316e-06 , 2.9174e-07
2.93972e-06 , 2.9424e-07
2.99614e-06 , 3.0494e-07
2.95496e-06 , 3.2157e-07
3.75246e-06 , 3.1612e-07
3.84905e-06 , 3.0545e-07
3.28462e-06 , 2.9306e-07
3.27561e-06 , 3.1027e-07
3.2971e-06 , 2.9668e-07
3.31049e-06 , 3.4215e-07
4.92684e-06 , 8.4487e-07
5.23269e-06 , 5.1235e-07
5.22323e-06 , 6.3622e-07
3.66986e-06 , 4.114e-07
4.37564e-06 , 4.2776e-07
3.40291e-06 , 3.2335e-07
4.26265e-06 , 4.1362e-07
4.63166e-06 , 5.7897e-07
4.17008e-06 , 5.4118e-07
3.65108e-06 , 4.4832e-07
4.12949e-06 , 4.453e-07
3.64234e-06 , 4.182e-07
3.6018e-06 , 3.7834e-07
3.60026e-06 , 4.1112e-07
