Insert_times,Search_times,num_insertCollisions,num_searchCollisions
90.18,19.05,48,12
74.83,18.06,42,7
77.23,17.78,48,8
99.94,20.15,51,10
77.79,19.99,45,23
94.24,20.96,60,21
77.53,17.54,51,11
75.64,20.66,48,17
92.92,18.2,62,10
76.05,19.7,41,16
91.53,21.4,47,17
78.52,18.69,48,13
75.93,19.34,51,13
96.08,19.03,53,7
77.82,19.35,55,15
75.71,17.53,45,5
91.03,17.05,49,7
76.11,20.17,54,14
91.9,22.7,49,23
74.82,22.3,55,12
75.43,20.31,52,22
92.17,22.31,52,22
76.2,21.72,60,24
93.96,21.3,47,20
76.88,19.07,46,10
77.52,18.59,54,15
92.53,18.85,55,15
76.75,19.75,49,16
91.87,18.81,46,13
75.33,22.41,43,26
78.21,20.89,56,21
90.7,18.77,53,11
77.26,17.76,60,10
75.79,18.52,58,15
97.27,22.61,47,23
80.54,21.54,59,23
91.01,16.41,56,3
76.95,18.83,55,16
75.75,20.41,51,19
89.55,18.48,69,15
76.93,18.78,50,19
92.68,20.73,47,16
78.58,18.73,53,13
75.72,21.21,56,19
96.37,20.6,55,21
78.12,21.59,55,22
92.47,20.53,47,18
77.21,19.91,55,16
74.97,19.49,55,17
90.91,24.12,57,30
75.68,19.6,51,16
88.81,18.03,57,8
74.64,20.53,51,23
76.03,19.97,52,11
95.8,21.14,59,19
76.97,19.11,49,9
77.86,20.56,53,22
89.49,21.64,60,16
74.62,19.11,60,12
91.66,20.29,55,22
75.42,19.25,51,17
77.62,19.87,61,14
90.15,18.12,50,10
78.54,18.57,55,11
98.79,20.38,54,23
76.86,19.89,53,13
77.69,20.99,55,21
89.37,23.13,62,22
75.76,19.48,59,9
89.82,21.13,58,23
75.35,21.65,58,21
75.67,21.51,60,25
90.69,18.66,65,7
77.12,18.09,55,10
95.4,20.52,64,20
76.29,19.28,55,13
78.81,24.02,63,31
89.41,17.96,54,9
77.19,20.63,59,22
75.67,19.53,54,19
88.97,23.24,59,21
74.32,21.41,60,21
91.68,18.65,59,10
76.02,21.85,55,24
76.99,21.42,66,22
92.05,21.32,62,21
75.6,19.71,55,16
88.87,19.19,56,12
75.27,22.66,56,31
76.63,20.23,54,23
90.91,19.44,61,18
74.65,22.42,55,25
89.35,21.21,67,21
74.85,24.52,60,33
73.22,20.04,56,18
96.89,18.06,55,9
76.63,22.59,62,26
74.75,22.7,61,24
90.82,19.01,52,15
76.22,22.2,54,26
91.55,24.43,64,36
75.52,21.85,60,24
76.41,20.18,60,19
90,19.71,62,18
75,19.85,62,21
94.91,24.24,51,36
75.89,20.19,54,20
77.53,20.85,53,17
89.56,20.46,56,20
75.82,19.14,61,17
92.2,19.31,58,14
75.05,17.3,64,6
73.91,21.53,64,21
90.71,21.38,59,22
75,22.8,62,26
95.13,20.75,52,17
74.57,19.06,58,13
78.38,23.56,54,36
89.92,20.95,64,20
75.59,22.29,61,20
74.99,20.82,68,19
88.64,22.86,59,25
90.25,20.23,59,17
96.45,19.42,63,15
76.29,20.1,63,17
75.17,18.49,50,11
87.94,21.68,53,23
76.94,18.85,60,11
88.08,21.09,70,22
75.49,20.1,60,20
75.85,19.21,61,14
88.95,18.06,57,8
75.17,19.84,69,16
93.19,658.41,68,22
614.24,40.01,61,22
