Insert_times,Search_times,num_insertCollisions,num_searchCollisions
3.395e-08,1.013e-08,72,1
3.529e-08,1.224e-08,75,12
3.585e-08,1.084e-08,81,5
3.241e-08,1.327e-08,75,16
3.349e-08,1.149e-08,76,11
3.138e-08,1.145e-08,57,4
3.444e-08,9.59e-09,79,0
3.434e-08,9.57e-09,102,1
3.484e-08,1.036e-08,85,5
3.708e-08,1.127e-08,86,5
3.877e-08,1.05e-08,96,6
3.699e-08,1.141e-08,80,6
3.491e-08,1.151e-08,77,11
3.615e-08,1.388e-08,92,20
3.983e-08,9.87e-09,123,1
4.168e-08,1.503e-08,112,24
4.048e-08,9.18e-09,97,0
4.793e-08,9.35e-09,135,2
4.578e-08,1.083e-08,127,4
4.026e-08,1.08e-08,91,7
4.396e-08,1.285e-08,129,15
4.615e-08,1.394e-08,146,24
4.566e-08,1.247e-08,173,12
4.487e-08,1.011e-08,120,1
4.674e-08,1.435e-08,157,16
4.342e-08,1.072e-08,143,7
4.401e-08,1.65e-08,143,37
4.984e-08,1.158e-08,204,10
4.578e-08,1.178e-08,145,9
5.157e-08,1.394e-08,265,15
4.904e-08,1.39e-08,225,18
5.031e-08,1.8e-08,216,34
4.95e-08,1.069e-08,259,4
5.033e-08,1.197e-08,232,10
4.763e-08,1.864e-08,211,30
5.188e-08,1.019e-08,325,4
5.605e-08,1.264e-08,373,14
4.931e-08,1.676e-08,251,32
6.061e-08,1.392e-08,389,20
4.925e-08,1.385e-08,292,22
5.08e-08,1.435e-08,367,19
5.659e-08,1.228e-08,375,10
5.501e-08,1.621e-08,382,28
5.579e-08,1.2e-08,407,7
5.743e-08,1.325e-08,440,14
5.572e-08,1.5e-08,405,22
5.565e-08,1.393e-08,413,17
5.755e-08,1.617e-08,410,27
5.998e-08,1.673e-08,476,30
6.147e-08,1.199e-08,560,14
6.067e-08,1.579e-08,507,33
5.447e-08,1.547e-08,394,27
7.27e-08,1.438e-08,796,22
6.912e-08,1.404e-08,678,13
7.714e-08,1.635e-08,888,37
7.654e-08,1.52e-08,892,27
7.351e-08,1.487e-08,819,18
7.207e-08,1.637e-08,782,56
7.718e-08,1.345e-08,911,12
7.518e-08,1.592e-08,856,34
7.944e-08,1.667e-08,935,27
1.0141e-07,1.541e-08,1430,20
9.269e-08,1.715e-08,1242,41
9.242e-08,1.25e-08,1213,9
1.1366e-07,2.345e-08,1703,79
7.909e-08,1.882e-08,937,36
1.1639e-07,2.704e-08,1761,161
1.6743e-07,2.264e-08,2886,73
9.669e-08,2.602e-08,1340,127
1.3089e-07,1.858e-08,1521,38
9.561e-08,1.4975e-07,1285,46
1.1033e-07,2.125e-08,1904,110
9.678e-08,2.136e-08,1611,99
1.1867e-07,1.082e-08,2105,13
1.3319e-07,1.316e-08,2489,21
9.961e-08,2.104e-08,1669,73
1.27e-07,2.222e-08,2371,162
1.3441e-07,1.773e-08,2533,67
1.5492e-07,2.194e-08,3045,99
1.2218e-07,3.301e-08,2187,339
4.0807e-07,2.119e-08,9337,63
3.0451e-07,1.586e-08,6778,35
3.7826e-07,2.384e-08,8609,145
4.6869e-07,1.759e-08,10846,89
6.4598e-07,2.216e-08,15253,207
4.2925e-07,1.573e-08,9897,53
5.1111e-07,2.056e-08,11898,146
8.1793e-07,1.2165e-07,15546,1488
5.3467e-07,2.5e-08,12405,90
4.6521e-07,2.441e-08,10739,116
5.0721e-07,6.499e-08,11796,1074
4.5246e-07,2.142e-08,10420,50
3.7036e-07,2.741e-08,8404,137
5.8318e-07,2.553e-08,13705,101
7.8923e-07,2.567e-08,18827,90
7.487e-07,1.6007e-07,17817,3323
4.5642e-07,1.1291e-07,10558,2066
5.7743e-07,2.579e-08,13515,140
7.703e-07,4.457e-08,18366,480
5.1349e-07,1.863e-08,11910,52
7.9088e-07,2.537e-08,18867,102
9.1018e-07,1.1592e-07,21781,2125
5.7007e-07,2.433e-08,13364,89
8.1495e-07,2.0116e-07,19459,4235
1.24809e-06,3.422e-08,30270,147
8.3523e-07,3.9357e-07,19967,8773
1.00186e-06,3.221e-08,24136,200
