Insert , Search
2.9016e-07 , 1.6385e-07
2.8275e-07 , 1.5531e-07
2.6337e-07 , 1.6187e-07
2.8266e-07 , 1.6471e-07
2.9103e-07 , 1.7381e-07
2.7689e-07 , 1.5951e-07
2.8287e-07 , 1.5991e-07
2.7789e-07 , 1.5966e-07
2.8745e-07 , 1.5539e-07
2.9237e-07 , 1.6529e-07
2.974e-07 , 1.6202e-07
2.867e-07 , 1.5715e-07
2.7277e-07 , 1.5991e-07
3.0395e-07 , 1.6887e-07
2.8638e-07 , 1.6727e-07
2.916e-07 , 1.595e-07
2.7945e-07 , 1.6467e-07
2.8185e-07 , 1.7637e-07
2.8626e-07 , 1.6566e-07
2.8953e-07 , 1.5474e-07
2.8457e-07 , 1.7538e-07
2.7025e-07 , 1.7003e-07
2.8909e-07 , 1.6671e-07
2.8981e-07 , 1.6134e-07
3.0229e-07 , 1.7146e-07
2.7615e-07 , 1.7094e-07
2.9904e-07 , 1.7285e-07
2.9234e-07 , 1.8093e-07
2.9544e-07 , 1.7342e-07
2.8956e-07 , 1.7414e-07
2.7459e-07 , 1.6934e-07
2.9159e-07 , 1.7071e-07
3.0293e-07 , 1.6935e-07
2.9138e-07 , 1.7938e-07
2.818e-07 , 1.8169e-07
2.9597e-07 , 1.6574e-07
2.8555e-07 , 1.7771e-07
3.0559e-07 , 1.7294e-07
2.8749e-07 , 1.6457e-07
2.731e-07 , 1.8154e-07
3.0412e-07 , 1.7763e-07
3.1832e-07 , 1.7627e-07
2.9053e-07 , 1.7595e-07
2.9405e-07 , 1.8267e-07
2.8026e-07 , 1.8616e-07
2.9181e-07 , 1.9016e-07
3.0781e-07 , 1.7851e-07
3.0333e-07 , 1.8054e-07
2.6646e-07 , 1.8127e-07
3.0545e-07 , 1.7537e-07
2.9789e-07 , 1.7302e-07
2.9664e-07 , 1.7882e-07
3.038e-07 , 1.8598e-07
2.8267e-07 , 1.7463e-07
3.0573e-07 , 1.8235e-07
3.0249e-07 , 1.8889e-07
3.0435e-07 , 1.8139e-07
2.848e-07 , 1.757e-07
3.0341e-07 , 1.8035e-07
3.057e-07 , 1.8641e-07
3.1071e-07 , 1.8592e-07
2.9398e-07 , 1.8076e-07
2.8169e-07 , 1.7978e-07
3.2619e-07 , 1.7711e-07
3.1078e-07 , 1.9266e-07
3.0186e-07 , 1.834e-07
2.8815e-07 , 1.8283e-07
3.1265e-07 , 1.9056e-07
3.0638e-07 , 1.8262e-07
3.0914e-07 , 1.7821e-07
3.0092e-07 , 1.7457e-07
2.7774e-07 , 1.8822e-07
3.1309e-07 , 1.9534e-07
3.0913e-07 , 1.9483e-07
2.9947e-07 , 1.8464e-07
3.0003e-07 , 1.8925e-07
2.8737e-07 , 1.8505e-07
3.1199e-07 , 1.8095e-07
3.0417e-07 , 2.0057e-07
3.0406e-07 , 1.96e-07
2.867e-07 , 1.8509e-07
3.0927e-07 , 1.8873e-07
2.9987e-07 , 1.8645e-07
3.0214e-07 , 1.9571e-07
3.0612e-07 , 1.7508e-07
2.9452e-07 , 2.2465e-07
3.5563e-07 , 1.9772e-07
3.2149e-07 , 1.9152e-07
3.0838e-07 , 1.8134e-07
2.8855e-07 , 1.9421e-07
3.2526e-07 , 1.9061e-07
3.1442e-07 , 1.7293e-07
3.0501e-07 , 1.877e-07
3.1133e-07 , 1.9404e-07
2.8247e-07 , 1.8647e-07
3.133e-07 , 1.8755e-07
3.1081e-07 , 1.8508e-07
3.1233e-07 , 1.9693e-07
3.0975e-07 , 1.9286e-07
3.0705e-07 , 1.8965e-07
3.2131e-07 , 1.8916e-07
3.0292e-07 , 1.7773e-07
3.1137e-07 , 1.8777e-07
2.8571e-07 , 2.0509e-07
3.0599e-07 , 1.9718e-07
3.0514e-07 , 1.8836e-07
3.1921e-07 , 1.9176e-07
3.0319e-07 , 1.9106e-07
2.9212e-07 , 2.0325e-07
3.0819e-07 , 1.9162e-07
3.1569e-07 , 1.9678e-07
3.1821e-07 , 2.0149e-07
2.9839e-07 , 1.9919e-07
3.244e-07 , 1.8541e-07
3.1003e-07 , 1.8559e-07
3.0826e-07 , 1.8889e-07
3.0257e-07 , 2.0063e-07
2.9358e-07 , 1.9694e-07
3.1375e-07 , 2.0747e-07
3.0652e-07 , 2.0582e-07
3.0719e-07 , 1.9075e-07
3.0496e-07 , 1.9717e-07
3.1245e-07 , 1.9086e-07
3.0033e-07 , 1.9303e-07
3.0649e-07 , 1.9212e-07
3.1401e-07 , 1.9648e-07
2.9734e-07 , 1.8748e-07
3.1785e-07 , 2.0717e-07
3.1566e-07 , 1.8948e-07
3.1161e-07 , 1.9293e-07
2.9378e-07 , 1.9353e-07
3.1097e-07 , 2.0689e-07
3.2896e-07 , 1.9617e-07
3.1349e-07 , 1.9836e-07
3.1036e-07 , 1.9519e-07
3.0222e-07 , 1.972e-07
3.2164e-07 , 2.0174e-07
3.3047e-07 , 1.9053e-07
3.1491e-07 , 1.9639e-07
3.1864e-07 , 1.9079e-07
3.001e-07 , 2.0011e-07
3.2034e-07 , 1.9325e-07
4.2211e-07 , 2.0599e-07
3.1776e-07 , 1.9901e-07
3.016e-07 , 1.9929e-07
3.1906e-07 , 1.8702e-07
3.1365e-07 , 1.9277e-07
3.1774e-07 , 1.948e-07
3.3388e-07 , 1.905e-07
3.0447e-07 , 2.153e-07
6.0471e-07 , 2.0414e-07
3.1809e-07 , 2.1465e-07
3.1328e-07 , 2.0727e-07
3.051e-07 , 1.9658e-07
3.1164e-07 , 2.0421e-07
3.1642e-07 , 2.0766e-07
3.1517e-07 , 1.9957e-07
3.2191e-07 , 2.0292e-07
2.9922e-07 , 1.9846e-07
3.4254e-07 , 2.1318e-07
3.3476e-07 , 2.0646e-07
3.3333e-07 , 2.1062e-07
3.0642e-07 , 1.9788e-07
5.9893e-07 , 2.8589e-07
3.9107e-07 , 2.3133e-07
5.1229e-07 , 3.8805e-07
4.3683e-07 , 2.36e-07
3.4984e-07 , 2.1306e-07
3.4339e-07 , 2.0589e-07
3.3563e-07 , 2.0939e-07
3.1017e-07 , 2.027e-07
3.4393e-07 , 2.1556e-07
3.3025e-07 , 4.5717e-07
4.7026e-07 , 2.2477e-07
4.8645e-07 , 2.2585e-07
3.4469e-07 , 1.9026e-07
3.3804e-07 , 2.1551e-07
3.1194e-07 , 2.1765e-07
3.3507e-07 , 2.0529e-07
3.2921e-07 , 2.1132e-07
3.175e-07 , 2.0972e-07
3.3994e-07 , 2.0928e-07
3.2203e-07 , 2.2115e-07
3.406e-07 , 2.0408e-07
3.4875e-07 , 2.0421e-07
3.3507e-07 , 2.0059e-07
3.3767e-07 , 2.024e-07
4.9928e-07 , 2.4767e-07
3.7929e-07 , 2.0129e-07
3.4671e-07 , 2.0535e-07
3.3574e-07 , 2.0187e-07
3.0481e-07 , 1.9735e-07
3.378e-07 , 2.1703e-07
3.3977e-07 , 2.1147e-07
3.3322e-07 , 2.0504e-07
3.3125e-07 , 2.1049e-07
3.1779e-07 , 2.1677e-07
3.2779e-07 , 1.9913e-07
3.402e-07 , 2.1532e-07
3.2771e-07 , 2.2023e-07
4.3628e-07 , 1.8957e-07
3.0446e-07 , 1.9853e-07
3.0896e-07 , 2.0114e-07
3.1613e-07 , 1.9827e-07
3.0643e-07 , 1.8885e-07
2.8351e-07 , 1.9174e-07
3.0774e-07 , 1.9652e-07
3.132e-07 , 2.0363e-07
3.0434e-07 , 1.9398e-07
2.9391e-07 , 1.7936e-07
3.0695e-07 , 1.8769e-07
3.0195e-07 , 1.8282e-07
3.0687e-07 , 2.012e-07
3.0119e-07 , 1.8862e-07
2.8924e-07 , 1.9119e-07
3.0154e-07 , 1.8864e-07
3.0894e-07 , 2.027e-07
2.9546e-07 , 1.9252e-07
